"","x"
"9108","PRRG3"
"9109","SCD"
"9110","PASD1"
"9111","GLMN"
"9112","KHDC3L"
"9113","HMGB3"
"9114","BLOC1S2"
"9115","EPHX4"
"9116","MTMR1"
"9117","MTM1"
"9118","CHUK"
"9119","HSFX1"
"9120","CPN1"
"9121","HFM1"
"9122","OGFRL1"
"9123","BARHL2"
"9124","ABCC2"
"9125","LRRC8C"
"9126","SMAP1"
"9127","GBP6"
"9128","GBP5"
"9129","AFF2"
"9130","GBP4"
"9131","GBP2"
"9132","GBP1"
"9133","C6orf57"
"9134","FMR1"
"9135","CUTC"
"9136","GBP3"
"9137","MRGBP"
"9138","ENTPD7"
"9139","SLITRK2"
"9140","SLC25A28"
"9141","GTF2B"
"9142","NTSR1"
"9143","GOT1"
"9144","CREG1"
"9145","PKN2"
"9146","LDOC1"
"9147","CDR1"
"9148","SOX3"
"9149","LMO4"
"9150","ENSG00000267561"
"9151","HS2ST1"
"9152","HPSE2"
"9153","CLCA4"
"9154","CLCA2"
"9155","COL24A1"
"9156","ZNHIT6"
"9157","PYROXD2"
"9158","LMBRD1"
"9159","BCL10"
"9160","MCOLN3"
"9161","CRTAC1"
"9162","BAI3"
"9163","MCOLN2"
"9164","RBMX"
"9165","CD40LG"
"9166","CTBS"
"9167","PI4K2A"
"9168","VGLL1"
"9169","GNG5"
"9170","HOGA1"
"9171","BRS3"
"9172","ENSG00000249967"
"9173","PTP4A1"
"9174","RPF1"
"9175","LGSN"
"9176","FKBP1C"
"9177","DNASE2B"
"9178","PRKACB"
"9179","BAG2"
"9180","SLC9A6"
"9181","ZNF451"
"9182","ELTD1"
"9183","IFI44"
"9184","IFI44L"
"9185","PTGFR"
"9186","GIPC2"
"9187","DNAJB4"
"9188","FUBP1"
"9189","MOSPD1"
"9190","USP33"
"9191","ZZZ3"
"9192","PIGK"
"9193","MTG2"
"9194","GPC4"
"9195","BMP5"
"9196","ACADM"
"9197","MBNL3"
"9198","SLC44A5"
"9199","TYW3"
"9200","PSMA7"
"9201","LRRC1"
"9202","FPGT"
"9203","EXOSC1"
"9204","IGSF1"
"9205","KLHL31"
"9206","ELOVL5"
"9207","ZRANB2"
"9208","CTH"
"9209","ANKRD13C"
"9210","SRSF11"
"9211","LRRC40"
"9212","PGAM1"
"9213","GSTA4"
"9214","DIRAS3"
"9215","GNG12"
"9216","GADD45A"
"9217","GSTA5"
"9218","SERBP1"
"9219","PPP1R3D"
"9220","PHACTR3"
"9221","WDR78"
"9222","ZNF831"
"9223","SGIP1"
"9224","EFHC1"
"9225","DNAJC6"
"9226","UBE2U"
"9227","ROR1"
"9228","PGM1"
"9229","EFCAB7"
"9230","ITGB3BP"
"9231","LCOR"
"9232","GNAS"
"9233","XPNPEP2"
"9234","ALG6"
"9235","OCRL"
"9236","FOXD3"
"9237","SMARCA1"
"9238","ACTRT1"
"9239","DCAF12L1"
"9240","ANGPTL3"
"9241","SH2D1A"
"9242","STX16"
"9243","TM9SF3"
"9244","KANK4"
"9245","INADL"
"9246","OPALIN"
"9247","DNTT"
"9248","RHAG"
"9249","NFIA"
"9250","GLYATL3"
"9251","XIAP"
"9252","C1orf87"
"9253","CYP2J2"
"9254","ENTPD1"
"9255","HOOK1"
"9256","FGGY"
"9257","JUN"
"9258","ALDH18A1"
"9259","TACSTD2"
"9260","OMA1"
"9261","DAB1"
"9262","C8B"
"9263","PRKAA2"
"9264","SORBS1"
"9265","PPAP2B"
"9266","GPR110"
"9267","PDLIM1"
"9268","SPO11"
"9269","BSND"
"9270","DHCR24"
"9271","CYP2C8"
"9272","PARS2"
"9273","TTC4"
"9274","MCTS1"
"9275","ACOT11"
"9276","SSBP3"
"9277","CYP2C19"
"9278","SLC25A27"
"9279","LDLRAD1"
"9280","NOC3L"
"9281","CACNA1B"
"9282","RCAN2"
"9283","PLCE1"
"9284","ENPP5"
"9285","RHOXF2"
"9286","NKAP"
"9287","LGI1"
"9288","PFDN4"
"9289","ARRDC1"
"9290","NDC1"
"9291","AKAP14"
"9292","NDUFA1"
"9293","RUNX2"
"9294","RNF113A"
"9295","MRPL41"
"9296","DMRTB1"
"9297","PDE6C"
"9298","SUPT3H"
"9299","RBP4"
"9300","MAGOH"
"9301","ZNF217"
"9302","CDC5L"
"9303","FFAR4"
"9304","CEP55"
"9305","CPT2"
"9306","TSHZ2"
"9307","TCTE1"
"9308","ENTPD8"
"9309","SCP2"
"9310","NDOR1"
"9311","ECHDC2"
"9312","ZYG11A"
"9313","COA7"
"9314","LRRC26"
"9315","GRIN1"
"9316","HSP90AB1"
"9317","UBE2A"
"9318","ORC1"
"9319","KCNG1"
"9320","DPP7"
"9321","CC2D1B"
"9322","DPM1"
"9323","MAN1B1"
"9324","NPDC1"
"9325","BTF3L4"
"9326","SLC25A5"
"9327","PARD6B"
"9328","KTI12"
"9329","PTPN1"
"9330","PTGDS"
"9331","TXNDC12"
"9332","TNKS2"
"9333","LONRF3"
"9334","LCN12"
"9335","TMEM189"
"9336","RAB3B"
"9337","RABL6"
"9338","IL13RA1"
"9339","LCN8"
"9340","FAM69B"
"9341","AGPAT2"
"9342","ANKRD1"
"9343","EGFL7"
"9344","B4GALT5"
"9345","INPP5E"
"9346","PMPCA"
"9347","KIF20B"
"9348","CARD9"
"9349","EPS15"
"9350","DNLZ"
"9351","KCNB1"
"9352","LHX3"
"9353","UBAC1"
"9354","KCNT1"
"9355","GLT6D1"
"9356","MRPS2"
"9357","SLC16A12"
"9358","OLFM1"
"9359","IFIT5"
"9360","IFIT1"
"9361","FCN1"
"9362","IFIT1B"
"9363","COL5A1"
"9364","IFIT3"
"9365","IFIT2"
"9366","AGBL4"
"9367","SPATA6"
"9368","VAV2"
"9369","CH25H"
"9370","STAU1"
"9371","SARDH"
"9372","CMPK1"
"9373","STIL"
"9374","CYP4A22"
"9375","SLC2A6"
"9376","CYP4X1"
"9377","AGTR2"
"9378","ARFGEF2"
"9379","CYP4B1"
"9380","STAMBPL1"
"9381","ADAMTS13"
"9382","ANKRD22"
"9383","EFCAB14"
"9384","IL13RA2"
"9385","LIPJ"
"9386","PREX1"
"9387","REXO4"
"9388","MKNK1"
"9389","PTEN"
"9390","AMOT"
"9391","SURF2"
"9392","SURF1"
"9393","RAD54L"
"9394","SURF4"
"9395","POMGNT1"
"9396","MINPP1"
"9397","NCOA3"
"9398","TSPAN1"
"9399","RPL7A"
"9400","ADIRF"
"9401","MRPL14"
"9402","SNCG"
"9403","SURF6"
"9404","TMEM69"
"9405","BMPR1A"
"9406","GBGT1"
"9407","CHRDL1"
"9408","RALGDS"
"9409","AKR1A1"
"9410","OPN4"
"9411","CEL"
"9412","TESK2"
"9413","TOE1"
"9414","MUTYH"
"9415","LRIT1"
"9416","GTF3C5"
"9417","TP53RK"
"9418","IRS4"
"9419","MRPS18A"
"9420","GHITM"
"9421","NRG3"
"9422","GTF3C4"
"9423","DDX31"
"9424","RSPH9"
"9425","HECTD3"
"9426","RAPGEF1"
"9427","PTCH2"
"9428","PLK3"
"9429","BEST4"
"9430","UCK1"
"9431","MAT1A"
"9432","KIF2C"
"9433","POMT1"
"9434","ATG4A"
"9435","POLH"
"9436","ERI3"
"9437","PLAC9"
"9438","PPAPDC3"
"9439","FAM78A"
"9440","CD40"
"9441","DMAP1"
"9442","SFTPD"
"9443","AIF1L"
"9444","CCDC24"
"9445","SFTPA2"
"9446","MMP9"
"9447","ZCCHC24"
"9448","IPO13"
"9449","ABL1"
"9450","EXOSC2"
"9451","POLR3A"
"9452","TSC22D3"
"9453","POLR1C"
"9454","DLG5"
"9455","ASS1"
"9456","KDM4A"
"9457","NCS1"
"9458","GPR107"
"9459","YIPF3"
"9460","HYI"
"9461","PRPS1"
"9462","C9orf78"
"9463","CDC20"
"9464","NUP62CL"
"9465","PRRX2"
"9466","MPL"
"9467","TIE1"
"9468","RBM41"
"9469","CTSA"
"9470","IER5L"
"9471","C10orf11"
"9472","ERMAP"
"9473","NEURL2"
"9474","ZNF503"
"9475","C1orf50"
"9476","ABCC10"
"9477","COMTD1"
"9478","DOLPP1"
"9479","YBX1"
"9480","SH3GLB2"
"9481","VDAC2"
"9482","TNNC2"
"9483","PPCS"
"9484","CRIP3"
"9485","FOXJ3"
"9486","NUP188"
"9487","GUCA2B"
"9488","IL1RAPL2"
"9489","HIVEP3"
"9490","SLC22A7"
"9491","DOLK"
"9492","EDN2"
"9493","ESX1"
"9494","FOXO6"
"9495","GLRA4"
"9496","CTPS1"
"9497","DNTTIP1"
"9498","TCEAL1"
"9499","TCEAL4"
"9500","RAB40A"
"9501","CITED4"
"9502","ENDOG"
"9503","NGFRAP1"
"9504","TBC1D13"
"9505","WFDC8"
"9506","EPPIN"
"9507","ZDHHC12"
"9508","WFDC6"
"9509","WFDC2"
"9510","TCEAL5"
"9511","RIMS3"
"9512","SET"
"9513","DUSP13"
"9514","EXO5"
"9515","WDR34"
"9516","SMAP2"
"9517","BEX1"
"9518","SDC4"
"9519","SPTAN1"
"9520","COL9A2"
"9521","MATN4"
"9522","ZMPSTE24"
"9523","PLAU"
"9524","TCEAL6"
"9525","TCEAL2"
"9526","SEMG1"
"9527","CAP1"
"9528","STK4"
"9529","GNMT"
"9530","MFSD2A"
"9531","TOMM34"
"9532","OXCT2"
"9533","BMP8B"
"9534","ARMCX1"
"9535","PPIE"
"9536","CHCHD1"
"9537","CNPY3"
"9538","HNRNPH2"
"9539","CERCAM"
"9540","YWHAB"
"9541","FUT11"
"9542","HPCAL4"
"9543","HEYL"
"9544","PABPC4"
"9545","ADA"
"9546","TRUB2"
"9547","UBR2"
"9548","TIMM8A"
"9549","TTPAL"
"9550","TAF7L"
"9551","ANXA7"
"9552","DNM1"
"9553","CENPI"
"9554","TMEM35"
"9555","TRMT2B"
"9556","MRPS16"
"9557","DNAJC9"
"9558","NOX1"
"9559","NDUFS5"
"9560","OSER1"
"9561","CSTF2"
"9562","TAF8"
"9563","JPH2"
"9564","SYTL4"
"9565","CCND3"
"9566","RRAGC"
"9567","SRPX2"
"9568","POU3F1"
"9569","UTP11L"
"9570","FHL3"
"9571","LCN2"
"9572","SF3A3"
"9573","TSPAN6"
"9574","INPP5B"
"9575","PGC"
"9576","TNMD"
"9577","PLA2G12B"
"9578","PCDH19"
"9579","MTF1"
"9580","RPA4"
"9581","YRDC"
"9582","MANEAL"
"9583","EPHA10"
"9584","MCU"
"9585","CDCA8"
"9586","FOXP4"
"9587","GNL2"
"9588","SLC25A25"
"9589","MEAF6"
"9590","NAP1L3"
"9591","ZC3H12A"
"9592","GRIK3"
"9593","PCDH11X"
"9594","FAM102A"
"9595","CSF3R"
"9596","SPOCK2"
"9597","TREM2"
"9598","KLHL4"
"9599","CHST3"
"9600","MRPS15"
"9601","DACH2"
"9602","STK40"
"9603","ST6GALNAC6"
"9604","MAP7D1"
"9605","TSPO2"
"9606","ZNF711"
"9607","APOOL"
"9608","AK1"
"9609","ADPRHL2"
"9610","MOCS1"
"9611","SLC29A3"
"9612","AGO3"
"9613","PTPRT"
"9614","POU3F4"
"9615","SGPL1"
"9616","ENG"
"9617","AGO1"
"9618","ADAMTS14"
"9619","AGO4"
"9620","SH3BGRL"
"9621","EIF4EBP2"
"9622","PPA1"
"9623","CHD6"
"9624","TFAP2E"
"9625","PSMB2"
"9626","SAR1A"
"9627","NCDN"
"9628","FPGS"
"9629","H2AFY2"
"9630","GLP1R"
"9631","LPIN3"
"9632","CDK9"
"9633","BRWD3"
"9634","C10orf35"
"9635","TOR2A"
"9636","TTC16"
"9637","TSPAN15"
"9638","TBX22"
"9639","ITM2A"
"9640","STXBP1"
"9641","TACR2"
"9642","FAM129B"
"9643","MAFB"
"9644","PGK1"
"9645","TRAF3IP1"
"9646","ATRX"
"9647","DLGAP3"
"9648","ZNF79"
"9649","PBDC1"
"9650","MAGEE2"
"9651","GLO1"
"9652","GJB3"
"9653","ZDHHC15"
"9654","SLC2A8"
"9655","CSMD2"
"9656","VPS26A"
"9657","UPRT"
"9658","UGT1A4"
"9659","UGT1A5"
"9660","ANGPTL2"
"9661","UGT1A7"
"9662","RPRD1B"
"9663","TTI1"
"9664","UGT1A1"
"9665","CMTR1"
"9666","RNF19B"
"9667","VSTM2L"
"9668","TMEM54"
"9669","ZBTB43"
"9670","HPCA"
"9671","FNDC5"
"9672","S100PBP"
"9673","YARS"
"9674","RNF8"
"9675","PBX3"
"9676","TBC1D22B"
"9677","RBBP4"
"9678","CHIC1"
"9679","PIM1"
"9680","CDX4"
"9681","NAP1L2"
"9682","PABPC1L2A"
"9683","PABPC1L2B"
"9684","TSSK3"
"9685","MARCKSL1"
"9686","RABEPK"
"9687","PHKA1"
"9688","HDAC1"
"9689","SCAI"
"9690","GOLGA1"
"9691","HDAC8"
"9692","SRC"
"9693","OLFML2A"
"9694","DDX50"
"9695","EIF3I"
"9696","NR5A1"
"9697","NEK6"
"9698","MANBAL"
"9699","COPS7B"
"9700","TXLNA"
"9701","GHRH"
"9702","LHX2"
"9703","DENND1A"
"9704","KPNA6"
"9705","MTCH1"
"9706","CRB2"
"9707","RPS4X"
"9708","GPR21"
"9709","TET1"
"9710","RABGAP1"
"9711","BAI2"
"9712","ZBTB26"
"9713","RBL1"
"9714","PIN4"
"9715","RC3H2"
"9716","COL16A1"
"9717","ATOH7"
"9718","PI16"
"9719","CXCR3"
"9720","ACRC"
"9721","PPIL1"
"9722","PEF1"
"9723","SERINC2"
"9724","FABP3"
"9725","SRSF3"
"9726","OGT"
"9727","NKAIN1"
"9728","REEP3"
"9729","MATN1"
"9730","NDUFA8"
"9731","ADO"
"9732","RTKN2"
"9733","SRSF4"
"9734","YTHDF2"
"9735","GSN"
"9736","SRPK1"
"9737","RAB42"
"9738","ITGB1BP2"
"9739","TRNAU1AP"
"9740","RCC1"
"9741","PHACTR4"
"9742","RAB14"
"9743","MED18"
"9744","CNTRL"
"9745","PTAFR"
"9746","EYA3"
"9747","TGIF2"
"9748","PHYHIPL"
"9749","BICC1"
"9750","TRAF1"
"9751","SMPDL3B"
"9752","RPA2"
"9753","RPL10A"
"9754","UBE2D1"
"9755","DLGAP4"
"9756","THEMIS2"
"9757","MEGF9"
"9758","CISD1"
"9759","AAR2"
"9760","IPMK"
"9761","STX12"
"9762","ZWINT"
"9763","ZNF76"
"9764","PCDH15"
"9765","DES"
"9766","MBL2"
"9767","DKK1"
"9768","TLR4"
"9769","PRKG1"
"9770","FGR"
"9771","ASAH2B"
"9772","PHF20"
"9773","GJB1"
"9774","C6orf106"
"9775","GPR3"
"9776","SPDEF"
"9777","TNFSF15"
"9778","ATP6V1G1"
"9779","ROMO1"
"9780","MED12"
"9781","NFS1"
"9782","AGAP5"
"9783","TIMM23B"
"9784","OGDHL"
"9785","RBM12"
"9786","SLC18A3"
"9787","KIF12"
"9788","GPN2"
"9789","DRGX"
"9790","RGS3"
"9791","ZDHHC18"
"9792","PIGV"
"9793","RUFY4"
"9794","POLE3"
"9795","BSPRY"
"9796","WDR31"
"9797","PRPF4"
"9798","LIN28A"
"9799","FRMPD2"
"9800","IL2RG"
"9801","SLC31A1"
"9802","CD52"
"9803","UBXN11"
"9804","SLC46A2"
"9805","SNX30"
"9806","CNKSR1"
"9807","FOXO4"
"9808","ZNF593"
"9809","PDIK1L"
"9810","TRIM63"
"9811","SPAG4"
"9812","SLC30A2"
"9813","UGCG"
"9814","EXTL1"
"9815","PAFAH2"
"9816","GNG10"
"9817","DNAJC25-GNG10"
"9818","PAQR7"
"9819","SLC7A3"
"9820","NPY4R"
"9821","ITPR3"
"9822","GPRIN2"
"9823","MAN1C1"
"9824","LDLRAP1"
"9825","PTPN20A"
"9826","TMEM57"
"9827","DLG3"
"9828","GDF5"
"9829","CLIC4"
"9830","UQCC1"
"9831","ALOX5"
"9832","RCAN3"
"9833","NIPAL3"
"9834","KIF4A"
"9835","MDH1B"
"9836","LPAR1"
"9837","MYOM3"
"9838","MUSK"
"9839","EIF6"
"9840","RASGEF1A"
"9841","CSGALNACT2"
"9842","BAK1"
"9843","CNR2"
"9844","FUCA1"
"9845","HMGCL"
"9846","EDEM2"
"9847","CUTA"
"9848","TXNDC8"
"9849","LYPLA2"
"9850","PHF1"
"9851","TXN"
"9852","BMS1"
"9853","AWAT1"
"9854","PALM2AKAP2"
"9855","IGBP1"
"9856","PTPN3"
"9857","DAXX"
"9858","RPL11"
"9859","EDA"
"9860","ID3"
"9861","EPB41L4B"
"9862","BMPR2"
"9863","TMEM245"
"9864","STARD8"
"9865","HNRNPR"
"9866","WDR46"
"9867","HTR1D"
"9868","EPHB2"
"9869","C1QC"
"9870","C1QA"
"9871","IKBKAP"
"9872","RING1"
"9873","HSD17B8"
"9874","ACTL7B"
"9875","KLF4"
"9876","SLC39A7"
"9877","RXRB"
"9878","AR"
"9879","TMEM38B"
"9880","FZD8"
"9881","HSPG2"
"9882","AOX1"
"9883","CCNY"
"9884","COL11A2"
"9885","SLC44A1"
"9886","ABCA1"
"9887","VSIG4"
"9888","SLC38A10"
"9889","NIPSNAP3B"
"9890","PARD3"
"9891","NCOA6"
"9892","PPP3R2"
"9893","TP53INP2"
"9894","LAS1L"
"9895","MAP1LC3A"
"9896","ZC4H2"
"9897","ALPL"
"9898","HLA-DMA"
"9899","TMEM246"
"9900","MTMR8"
"9901","ALDOB"
"9902","PSMB9"
"9903","MRPL50"
"9904","COL5A2"
"9905","PLPPR1"
"9906","TMEFF1"
"9907","PSMB8"
"9908","ECE1"
"9909","TAP2"
"9910","FAAH2"
"9911","TEX10"
"9912","SPIN3"
"9913","HLA-DQA2"
"9914","HLA-DQB1"
"9915","HLA-DRB5"
"9916","EIF2S2"
"9917","APEX2"
"9918","TGFBR1"
"9919","COL15A1"
"9920","PFKFB1"
"9921","GALNT12"
"9922","NOTCH4"
"9923","GPSM3"
"9924","PBX2"
"9925","PINK1"
"9926","MAGED2"
"9927","AGER"
"9928","CDA"
"9929","CAMK2N1"
"9930","RNF5"
"9931","PLA2G2F"
"9932","PLA2G2D"
"9933","PLA2G5"
"9934","PLA2G2E"
"9935","C9orf156"
"9936","RNF186"
"9937","FOXE1"
"9938","XPA"
"9939","FGD1"
"9940","NCBP1"
"9941","TSR2"
"9942","PQLC2"
"9943","FKBPL"
"9944","MRTO4"
"9945","FAM120C"
"9946","ATF6B"
"9947","ZAK"
"9948","AAED1"
"9949","CDC14B"
"9950","HABP4"
"9951","UBR4"
"9952","DCAF17"
"9953","ZNF367"
"9954","HSD17B3"
"9955","UPF3A"
"9956","SIK3"
"9957","C9orf3"
"9958","RIBC1"
"9959","STK19"
"9960","FBP2"
"9961","ALDH4A1"
"9962","HIATL1"
"9963","DXO"
"9964","G6PC2"
"9965","TFDP1"
"9966","TAS1R2"
"9967","PAX7"
"9968","KIAA1462"
"9969","SKIV2L"
"9970","KDM5C"
"9971","ACTL8"
"9972","ADPRHL1"
"9973","NELFE"
"9974","GRTP1"
"9975","RCC2"
"9976","SCN2A"
"9977","CUL4A"
"9978","TSPYL2"
"9979","PADI4"
"9980","BPIFA3"
"9981","PADI3"
"9982","PADI1"
"9983","SUSD3"
"9984","FGD3"
"9985","PADI2"
"9986","RBM7"
"9987","SDHB"
"9988","LYZL1"
"9989","ZBTB12"
"9990","EHMT2"
"9991","BAMBI"
"9992","MFAP2"
"9993","CROCC"
"9994","ASPN"
"9995","SDHD"
"9996","OMD"
"9997","F10"
"9998","MAPRE1"
"9999","F7"
"10000","FBXO42"
"10001","RSG1"
"10002","LAYN"
"10003","NEU1"
"10004","IARS"
"10005","HSPA1B"
"10006","HSPA1A"
"10007","HSPA1L"
"10008","LSM2"
"10009","FAM131C"
"10010","VARS"
"10011","CLCNKB"
"10012","ASXL1"
"10013","VWA7"
"10014","MAGED1"
"10015","MSH5"
"10016","CARD16"
"10017","CARD17"
"10018","ROR2"
"10019","KIF3B"
"10020","AUH"
"10021","ZBTB17"
"10022","RND3"
"10023","ARHGEF7"
"10024","POFUT1"
"10025","SYK"
"10026","SPEN"
"10027","DIRAS2"
"10028","ING1"
"10029","CLIC1"
"10030","TMEM82"
"10031","DDAH2"
"10032","MKX"
"10033","C6orf25"
"10034","SECISBP2"
"10035","CKS2"
"10036","LY6G6C"
"10037","COL4A1"
"10038","AGMAT"
"10039","SHC3"
"10040","MAP3K19"
"10041","S1PR3"
"10042","DNAJC16"
"10043","NXNL2"
"10044","IRS2"
"10045","CSNK2B"
"10046","TNFSF13B"
"10047","ABHD13"
"10048","GPANK1"
"10049","CELA2B"
"10050","FAM155A"
"10051","APOM"
"10052","MASTL"
"10053","CTRC"
"10054","ZCCHC6"
"10055","BAG6"
"10056","FOXS1"
"10057","EFHD2"
"10058","ISCA1"
"10059","NUDT11"
"10060","MYLK2"
"10061","KDELC1"
"10062","NUDT10"
"10063","SHROOM4"
"10064","KAZN"
"10065","TEX30"
"10066","PRRC2A"
"10067","CCNB3"
"10068","AIF1"
"10069","TPP2"
"10070","COX4I2"
"10071","ANKRD26"
"10072","CLCN5"
"10073","DLG2"
"10074","ID1"
"10075","FGF14"
"10076","ABI1"
"10077","NFKBIL1"
"10078","ITGBL1"
"10079","FOXP3"
"10080","PDSS1"
"10081","AADACL4"
"10082","CCDC22"
"10083","HLA-C"
"10084","APBB1IP"
"10085","SLC28A3"
"10086","GGACT"
"10087","TCF19"
"10088","TNFRSF1B"
"10089","GAD2"
"10090","HNRNPK"
"10091","CACNA1F"
"10092","PCCA"
"10093","CDSN"
"10094","MUC21"
"10095","SHISA7"
"10096","PLP2"
"10097","ZIC2"
"10098","C9orf64"
"10099","PTPRH"
"10100","GPR158"
"10101","STXBP4"
"10102","CLYBL"
"10103","ENSG00000250232"
"10104","TM9SF2"
"10105","FLOT1"
"10106","UBQLN1"
"10107","MDC1"
"10108","GPR183"
"10109","IDNK"
"10110","GRIPAP1"
"10111","DHX16"
"10112","RASEF"
"10113","KIAA1217"
"10114","DOCK9"
"10115","NPPB"
"10116","NPPA"
"10117","OTUD1"
"10118","TLE1"
"10119","SLC15A1"
"10120","PTF1A"
"10121","PIM2"
"10122","MSRB2"
"10123","PPP1R10"
"10124","TTYH1"
"10125","TLE4"
"10126","ABHD12"
"10127","STK24"
"10128","CTTN"
"10129","KIAA2013"
"10130","PIP4K2A"
"10131","PSAT1"
"10132","MTHFR"
"10133","CEP78"
"10134","GNL1"
"10135","GNA14"
"10136","SPAG6"
"10137","HLA-E"
"10138","PUS1"
"10139","ENTPD6"
"10140","TRIM39"
"10141","BMI1"
"10142","GATA1"
"10143","NUDT8"
"10144","TRIM15"
"10145","WAS"
"10146","HS6ST3"
"10147","FOXB2"
"10148","VSX1"
"10149","PRUNE2"
"10150","WDR13"
"10151","TRIM31"
"10152","RFK"
"10153","SP2"
"10154","UGGT2"
"10155","FBXO6"
"10156","RBM3"
"10157","FBXO44"
"10158","TBC1D25"
"10159","PPP1R11"
"10160","UBIAD1"
"10161","ANGPTL7"
"10162","C9orf41"
"10163","TBC1D8"
"10164","KLK6"
"10165","SYNDIG1"
"10166","RILPL1"
"10167","ABCC4"
"10168","RORB"
"10169","MOG"
"10170","YIF1A"
"10171","ANXA1"
"10172","EXOSC10"
"10173","SOX21"
"10174","SRM"
"10175","GPR180"
"10176","DNAJC1"
"10177","CST11"
"10178","CASZ1"
"10179","GABBR1"
"10180","DFFA"
"10181","ABHD17B"
"10182","TMEM2"
"10183","GPC6"
"10184","UBD"
"10185","ZNF41"
"10186","GPC5"
"10187","KDM2B"
"10188","CNNM4"
"10189","LMAN2L"
"10190","SLITRK5"
"10191","SLITRK1"
"10192","SLC25A39"
"10193","SPRY2"
"10194","THBD"
"10195","TRPM3"
"10196","CASC10"
"10197","NEBL"
"10198","KLF9"
"10199","NKX2-2"
"10200","MAMDC2"
"10201","SYVN1"
"10202","XRN2"
"10203","TRIM27"
"10204","NMNAT1"
"10205","POU4F1"
"10206","EDNRB"
"10207","UIMC1"
"10208","SNX15"
"10209","PLXDC2"
"10210","ZKSCAN3"
"10211","ATG2A"
"10212","FXN"
"10213","ARL5B"
"10214","PRKACG"
"10215","HRH2"
"10216","CLSTN1"
"10217","NSUN6"
"10218","FTL"
"10219","FOXH1"
"10220","ST3GAL5"
"10221","CRNKL1"
"10222","PIK3CD"
"10223","VPS28"
"10224","SLC39A12"
"10225","SF1"
"10226","CBWD7"
"10227","CBWD5"
"10228","CBWD1"
"10229","HIST1H2BL"
"10230","SLC2A5"
"10231","SCP2D1"
"10232","CA6"
"10233","DTD1"
"10234","CLN5"
"10235","HIST1H2AH"
"10236","IRG1"
"10237","KCTD12"
"10238","ERRFI1"
"10239","STAM"
"10240","AUP1"
"10241","SLC22A12"
"10242","DNAJC11"
"10243","UCHL3"
"10244","ANKRD20A2"
"10245","ST8SIA6"
"10246","POLR3F"
"10247","ATXN2"
"10248","TBC1D4"
"10249","PHF13"
"10250","KLF12"
"10251","HIF3A"
"10252","KLF5"
"10253","IGFBPL1"
"10254","ALDH1B1"
"10255","NOL9"
"10256","SHB"
"10257","MGME1"
"10258","SLC36A3"
"10259","SLC25A51"
"10260","DCAF10"
"10261","HIST1H4H"
"10262","HIST1H2BI"
"10263","HIST1H4B"
"10264","DIS3"
"10265","SNX5"
"10266","HIST1H3D"
"10267","DPP6"
"10268","TNFRSF25"
"10269","HIST1H2AC"
"10270","NAA40"
"10271","TCOF1"
"10272","POLR1E"
"10273","TRDMT1"
"10274","PLCXD3"
"10275","HIST1H4C"
"10276","RRBP1"
"10277","MZT1"
"10278","RTN3"
"10279","ESPN"
"10280","CUBN"
"10281","ZFAT"
"10282","KLHL1"
"10283","SLC17A2"
"10284","ACOT7"
"10285","PCDH9"
"10286","SLC22A6"
"10287","BFSP1"
"10288","SLC3A2"
"10289","GPR153"
"10290","HES3"
"10291","SLC17A4"
"10292","PCDH17"
"10293","RSU1"
"10294","GKN1"
"10295","PCDH8"
"10296","GLIPR2"
"10297","SCGN"
"10298","LECT1"
"10299","RECK"
"10300","KDM6A"
"10301","SUGT1"
"10302","ACTR2"
"10303","PTER"
"10304","AHNAK"
"10305","CKAP4"
"10306","CKAP2"
"10307","FUNDC1"
"10308","FLRT3"
"10309","VPS36"
"10310","NDP"
"10311","MAOB"
"10312","SEL1L2"
"10313","LRRC10B"
"10314","ITGA8"
"10315","FBXO47"
"10316","KCNAB2"
"10317","GBA2"
"10318","NDUFAF5"
"10319","ARHGEF35"
"10320","GPR34"
"10321","PGA4"
"10322","NPHP4"
"10323","TAF2"
"10324","NMT2"
"10325","CASK"
"10326","AJAP1"
"10327","TDP2"
"10328","EXT1"
"10329","ACBD7"
"10330","KIAA0319"
"10331","OLAH"
"10332","CEP104"
"10333","SPIRE2"
"10334","LRRC47"
"10335","DCLRE1C"
"10336","TPM2"
"10337","TP73"
"10338","RCBTB1"
"10339","PHF11"
"10340","REEP2"
"10341","TPRG1L"
"10342","CA9"
"10343","APRT"
"10344","HSPA14"
"10345","ARHGEF16"
"10346","ANKEF1"
"10347","PKHD1L1"
"10348","ACTRT2"
"10349","MMEL1"
"10350","PAK7"
"10351","LPAR6"
"10352","ATP6AP2"
"10353","BCOR"
"10354","HES5"
"10355","DCDC2"
"10356","NUP160"
"10357","PANK4"
"10358","NRSN1"
"10359","TSPAN7"
"10360","PLCH2"
"10361","CAMKMT"
"10362","UNC13B"
"10363","PLCB4"
"10364","RPGR"
"10365","SLC35B4"
"10366","LIG3"
"10367","SRPX"
"10368","DNAAF1"
"10369","PODXL"
"10370","ITM2B"
"10371","PRKCZ"
"10372","CCL7"
"10373","DYNLT3"
"10374","GABRD"
"10375","CYBB"
"10376","PIGO"
"10377","LRP4"
"10378","NADK"
"10379","LGALS7"
"10380","SEPHS1"
"10381","FANCG"
"10382","SUCLA2"
"10383","OXER1"
"10384","COX7A2L"
"10385","UQCRQ"
